symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,pnl_usdt,pnl_r
ETH/USDT,long,2026-04-18 20:08:00+00:00,2026-04-18 22:49:00+00:00,2347.52,2343.28125,2355.9975,2355.9975,1.231686,win,10.4416,2.0
ETH/USDT,short,2026-04-18 22:05:00+00:00,2026-04-18 22:33:00+00:00,2349.96,2353.850676,2342.178648,2353.850676,1.335134,loss,-5.1946,-1.0
ETH/USDT,short,2026-04-19 00:15:00+00:00,2026-04-19 00:36:00+00:00,2350.86,2354.060718,2344.458564,2344.458564,1.631137,win,10.4416,2.0
ETH/USDT,short,2026-04-19 01:12:00+00:00,2026-04-19 02:28:00+00:00,2346.21,2349.749856,2339.130288,2339.130288,1.489614,win,10.546,2.0
ETH/USDT,short,2026-04-19 02:26:00+00:00,2026-04-19 02:28:00+00:00,2341.82,2344.988904,2335.482192,2335.482192,1.655668,win,10.4933,2.0
ETH/USDT,short,2026-04-19 02:30:00+00:00,2026-04-19 02:42:00+00:00,2336.3,2342.228352,2324.443296,2342.228352,0.902755,loss,-5.3518,-1.0
ETH/USDT,long,2026-04-19 02:44:00+00:00,2026-04-19 02:50:00+00:00,2344.32,2340.211864,2352.536272,2340.211864,1.29623,loss,-5.3251,-1.0
ETH/USDT,long,2026-04-19 03:19:00+00:00,2026-04-19 04:32:00+00:00,2339.04,2335.052896,2347.014208,2335.052896,1.3289,loss,-5.2985,-1.0
ETH/USDT,short,2026-04-19 04:00:00+00:00,2026-04-19 04:08:00+00:00,2337.95,2341.698246,2330.453508,2341.698246,1.413585,loss,-5.2985,-1.0
ETH/USDT,short,2026-04-19 04:42:00+00:00,2026-04-19 05:31:00+00:00,2325.14,2335.657038,2304.105924,2335.657038,0.49876,loss,-5.2455,-1.0
ETH/USDT,long,2026-04-19 04:53:00+00:00,2026-04-19 05:05:00+00:00,2332.11,2328.33424,2339.66152,2328.33424,1.389251,loss,-5.2455,-1.0
ETH/USDT,short,2026-04-19 06:17:00+00:00,2026-04-19 06:21:00+00:00,2324.35,2328.555618,2315.938764,2328.555618,1.247836,loss,-5.2479,-1.0
ETH/USDT,short,2026-04-19 07:25:00+00:00,2026-04-19 07:56:00+00:00,2304.0,2317.293366,2277.413268,2317.293366,0.392804,loss,-5.2217,-1.0
ETH/USDT,short,2026-04-19 08:02:00+00:00,2026-04-19 08:17:00+00:00,2313.01,2316.273162,2306.483676,2316.273162,1.59219,loss,-5.1956,-1.0
ETH/USDT,long,2026-04-19 08:15:00+00:00,2026-04-19 08:31:00+00:00,2315.23,2311.997508,2321.694984,2311.997508,1.607297,loss,-5.1956,-1.0
ETH/USDT,short,2026-04-19 09:39:00+00:00,2026-04-19 10:49:00+00:00,2310.74,2314.41279,2303.39442,2314.41279,1.400466,loss,-5.1436,-1.0
ETH/USDT,long,2026-04-19 10:05:00+00:00,2026-04-19 10:07:00+00:00,2310.65,2307.578392,2316.793216,2307.578392,1.674569,loss,-5.1436,-1.0
ETH/USDT,long,2026-04-19 10:14:00+00:00,2026-04-19 10:49:00+00:00,2308.3,2305.148878,2314.602244,2314.602244,1.624152,win,10.2358,2.0
ETH/USDT,long,2026-04-19 10:23:00+00:00,2026-04-19 10:50:00+00:00,2309.08,2305.758756,2315.722488,2315.722488,1.540959,win,10.2358,2.0
ETH/USDT,long,2026-04-19 13:12:00+00:00,2026-04-19 13:22:00+00:00,2332.79,2327.464414,2343.441172,2343.441172,0.975393,win,10.3891,2.0
ETH/USDT,long,2026-04-19 13:24:00+00:00,2026-04-19 13:37:00+00:00,2345.52,2337.442418,2361.675164,2337.442418,0.649512,loss,-5.2465,-1.0
ETH/USDT,short,2026-04-19 14:05:00+00:00,2026-04-19 14:08:00+00:00,2335.38,2339.137734,2327.864532,2327.864532,1.389203,win,10.4405,2.0
ETH/USDT,short,2026-04-19 14:06:00+00:00,2026-04-19 14:08:00+00:00,2332.99,2335.847076,2327.275848,2327.275848,1.827132,win,10.4405,2.0
ETH/USDT,short,2026-04-19 14:10:00+00:00,2026-04-19 14:19:00+00:00,2327.44,2332.446396,2317.427208,2332.446396,1.063571,loss,-5.3247,-1.0
ETH/USDT,short,2026-04-19 14:34:00+00:00,2026-04-19 14:51:00+00:00,2334.18,2338.857678,2324.824644,2338.857678,1.132621,loss,-5.298,-1.0
ETH/USDT,short,2026-04-19 15:05:00+00:00,2026-04-19 15:17:00+00:00,2332.87,2336.51721,2325.57558,2336.51721,1.445364,loss,-5.2715,-1.0
ETH/USDT,short,2026-04-19 15:24:00+00:00,2026-04-19 15:36:00+00:00,2332.23,2336.137134,2324.415732,2324.415732,1.342464,win,10.4904,2.0
ETH/USDT,short,2026-04-19 15:39:00+00:00,2026-04-19 15:39:00+00:00,2335.67,2338.847676,2329.314648,2329.314648,1.667143,win,10.5953,2.0
ETH/USDT,short,2026-04-19 16:02:00+00:00,2026-04-19 16:30:00+00:00,2325.98,2330.06592,2317.80816,2317.80816,1.309525,win,10.7012,2.0
ETH/USDT,long,2026-04-19 16:06:00+00:00,2026-04-19 16:18:00+00:00,2328.12,2323.175272,2338.009456,2323.175272,1.082085,loss,-5.3506,-1.0
