symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2026-01-23 22:15:00+00:00,2026-01-24 00:45:00+00:00,2948.02,2941.691544,2960.676912,2949.145396,0.006943,loss,0.0078,0.0205,-0.0127,-0.288,
ETH/USDT,short,2026-01-24 07:25:00+00:00,2026-01-24 08:50:00+00:00,2956.64,2960.69202,2948.53596,2960.69202,0.006922,loss,-0.028,0.0205,-0.0485,-1.73,
ETH/USDT,short,2026-01-24 14:10:00+00:00,2026-01-24 14:35:00+00:00,2953.87,2957.371356,2946.867288,2957.371356,0.006925,loss,-0.0242,0.0205,-0.0447,-1.844,
ETH/USDT,short,2026-01-24 16:25:00+00:00,2026-01-24 16:45:00+00:00,2952.46,2956.731228,2943.917544,2956.731228,0.006925,loss,-0.0296,0.0205,-0.05,-1.692,
ETH/USDT,short,2026-01-25 08:50:00+00:00,2026-01-25 09:35:00+00:00,2935.79,2941.128108,2925.113784,2935.79,0.006961,loss,0.0,0.0204,-0.0204,-0.55,
ETH/USDT,short,2026-01-25 11:10:00+00:00,2026-01-25 11:35:00+00:00,2942.745,2945.83905,2936.5569,2942.745,0.006943,loss,0.0,0.0204,-0.0204,-0.951,
ETH/USDT,short,2026-01-25 12:10:00+00:00,2026-01-25 12:25:00+00:00,2939.69,2944.408764,2930.252472,2939.69,0.006949,loss,0.0,0.0204,-0.0204,-0.623,
ETH/USDT,short,2026-01-25 14:15:00+00:00,2026-01-25 15:15:00+00:00,2939.46,2943.43857,2931.50286,2933.269128,0.006948,win,0.043,0.0204,0.0226,0.818,
ETH/USDT,short,2026-01-25 14:35:00+00:00,2026-01-25 14:55:00+00:00,2932.14,2935.096902,2926.226196,2932.14,0.006965,loss,0.0,0.0204,-0.0204,-0.992,
ETH/USDT,short,2026-01-25 16:25:00+00:00,2026-01-25 21:00:00+00:00,2897.465,2904.03069,2884.33362,2815.175198,0.007049,win,0.5801,0.0201,0.56,12.098,
ETH/USDT,short,2026-01-25 18:55:00+00:00,2026-01-25 21:00:00+00:00,2849.195,2856.87126,2833.84248,2815.175198,0.007168,win,0.2439,0.0203,0.2236,4.063,
ETH/USDT,short,2026-01-25 20:00:00+00:00,2026-01-25 20:05:00+00:00,2813.92,2817.003288,2807.753424,2817.003288,0.007257,loss,-0.0224,0.0204,-0.0428,-1.913,
ETH/USDT,short,2026-01-25 20:05:00+00:00,2026-01-25 20:10:00+00:00,2819.605,2823.5646,2811.6858,2819.605,0.007239,loss,0.0,0.0204,-0.0204,-0.712,
ETH/USDT,long,2026-01-25 21:10:00+00:00,2026-01-25 21:30:00+00:00,2810.51,2807.018484,2817.493032,2810.51,0.007319,loss,0.0,0.0206,-0.0206,-0.805,
ETH/USDT,short,2026-01-25 21:40:00+00:00,2026-01-25 23:45:00+00:00,2811.49,2820.564,2793.342,2811.49,0.007315,loss,0.0,0.0206,-0.0206,-0.31,
ETH/USDT,long,2026-01-25 23:55:00+00:00,2026-01-26 00:00:00+00:00,2808.43,2798.530182,2828.229636,2808.43,0.007321,loss,0.0,0.0206,-0.0206,-0.284,
ETH/USDT,long,2026-01-26 00:30:00+00:00,2026-01-26 02:00:00+00:00,2823.245,2818.126262,2833.482476,2870.581475,0.007281,win,0.3447,0.0207,0.3239,8.692,
ETH/USDT,short,2026-01-26 02:20:00+00:00,2026-01-26 02:30:00+00:00,2876.035,2882.996484,2862.112032,2882.996484,0.00717,loss,-0.0499,0.0206,-0.0706,-1.414,
ETH/USDT,long,2026-01-26 02:35:00+00:00,2026-01-26 02:40:00+00:00,2874.145,2868.52618,2885.38264,2868.52618,0.00717,loss,-0.0403,0.0206,-0.0609,-1.511,
ETH/USDT,long,2026-01-26 02:50:00+00:00,2026-01-26 03:20:00+00:00,2859.675,2853.52918,2871.96664,2859.675,0.007202,loss,0.0,0.0206,-0.0206,-0.465,
ETH/USDT,short,2026-01-26 04:10:00+00:00,2026-01-26 04:20:00+00:00,2859.855,2866.583202,2846.398596,2866.583202,0.0072,loss,-0.0484,0.0206,-0.0691,-1.426,
ETH/USDT,long,2026-01-26 04:40:00+00:00,2026-01-26 09:00:00+00:00,2862.825,2857.288428,2873.898144,2904.829954,0.007188,win,0.3019,0.0207,0.2812,7.066,
ETH/USDT,long,2026-01-26 06:50:00+00:00,2026-01-26 09:00:00+00:00,2884.14,2880.693746,2891.032508,2904.829954,0.007134,win,0.1476,0.0206,0.127,5.164,
ETH/USDT,long,2026-01-26 08:00:00+00:00,2026-01-26 08:15:00+00:00,2899.515,2895.050874,2908.443252,2899.515,0.007095,loss,0.0,0.0206,-0.0206,-0.65,
ETH/USDT,long,2026-01-26 08:30:00+00:00,2026-01-26 09:00:00+00:00,2907.33,2899.86991,2922.25018,2899.86991,0.007075,loss,-0.0528,0.0205,-0.0733,-1.389,
ETH/USDT,short,2026-01-26 10:05:00+00:00,2026-01-26 12:00:00+00:00,2896.06,2900.58,2887.02,2896.06,0.007127,loss,0.0,0.0206,-0.0206,-0.641,
ETH/USDT,long,2026-01-26 12:20:00+00:00,2026-01-26 14:10:00+00:00,2902.225,2896.860512,2912.953976,2902.225,0.00711,loss,0.0,0.0206,-0.0206,-0.541,
ETH/USDT,short,2026-01-26 14:30:00+00:00,2026-01-26 14:35:00+00:00,2897.905,2905.611006,2882.492988,2905.611006,0.00712,loss,-0.0549,0.0207,-0.0755,-1.377,
ETH/USDT,long,2026-01-26 14:50:00+00:00,2026-01-26 15:25:00+00:00,2905.33,2897.82032,2920.34936,2923.34115,0.007096,win,0.1278,0.0207,0.1071,2.01,
ETH/USDT,long,2026-01-26 15:20:00+00:00,2026-01-26 15:30:00+00:00,2929.745,2915.656752,2957.921496,2915.656752,0.007036,loss,-0.0991,0.0206,-0.1197,-1.207,
ETH/USDT,long,2026-01-26 15:40:00+00:00,2026-01-26 17:15:00+00:00,2893.69,2875.444796,2930.180408,2893.69,0.007124,loss,0.0,0.0206,-0.0206,-0.159,
ETH/USDT,short,2026-01-26 15:50:00+00:00,2026-01-26 16:20:00+00:00,2904.215,2912.222328,2888.200344,2904.215,0.007097,loss,0.0,0.0206,-0.0206,-0.363,
ETH/USDT,long,2026-01-26 16:30:00+00:00,2026-01-26 16:45:00+00:00,2902.49,2893.541176,2920.387648,2902.49,0.0071,loss,0.0,0.0206,-0.0206,-0.324,
ETH/USDT,short,2026-01-26 17:05:00+00:00,2026-01-26 17:50:00+00:00,2909.39,2913.842652,2900.484696,2909.39,0.007082,loss,0.0,0.0206,-0.0206,-0.653,
ETH/USDT,long,2026-01-26 17:45:00+00:00,2026-01-26 19:50:00+00:00,2899.725,2889.531978,2920.111044,2921.1948,0.007104,win,0.1525,0.0207,0.1318,1.821,
ETH/USDT,long,2026-01-26 19:05:00+00:00,2026-01-26 19:15:00+00:00,2925.84,2922.685346,2932.149308,2925.84,0.007039,loss,0.0,0.0206,-0.0206,-0.927,
ETH/USDT,long,2026-01-26 19:45:00+00:00,2026-01-26 19:50:00+00:00,2928.61,2924.594964,2936.640072,2924.594964,0.007031,loss,-0.0282,0.0206,-0.0488,-1.729,
ETH/USDT,short,2026-01-26 20:00:00+00:00,2026-01-26 20:05:00+00:00,2925.7,2929.575798,2917.948404,2925.7,0.007045,loss,0.0,0.0206,-0.0206,-0.755,
ETH/USDT,short,2026-01-26 21:10:00+00:00,2026-01-26 21:30:00+00:00,2906.59,2909.5818,2900.6064,2909.5818,0.007089,loss,-0.0212,0.0206,-0.0418,-1.972,
ETH/USDT,long,2026-01-26 21:20:00+00:00,2026-01-26 23:00:00+00:00,2903.43,2899.599964,2911.090072,2919.117329,0.007096,win,0.1113,0.0207,0.0907,3.336,
