symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-04-08 11:50:00+00:00,2025-04-08 12:55:00+00:00,1583.636422,1577.654406,1660.0,1660.0,0.014374,win,1.0977,0.0233,1.0744,12.494,
ETH/USDT,long,2025-04-08 12:30:00+00:00,2025-04-08 12:35:00+00:00,1591.29525,1586.992538,1655.88,1655.88,0.014304,win,0.9238,0.0232,0.9006,14.633,
ETH/USDT,long,2025-04-09 02:35:00+00:00,2025-04-09 02:45:00+00:00,1471.265265,1462.117518,1580.0,1462.117518,0.015905,loss,-0.1455,0.0233,-0.1688,-1.16,
ETH/USDT,long,2025-04-09 04:50:00+00:00,2025-04-09 07:30:00+00:00,1435.882582,1414.507042,1580.0,1580.0,0.016274,win,2.3453,0.0245,2.3208,6.672,
ETH/USDT,long,2025-04-09 06:55:00+00:00,2025-04-09 07:00:00+00:00,1459.914592,1457.638414,1570.0,1570.0,0.016004,win,1.7618,0.0242,1.7376,47.699,
ETH/USDT,short,2025-04-09 06:55:00+00:00,2025-04-09 07:00:00+00:00,1465.64681,1470.364014,1423.06,1470.364014,0.01594,loss,-0.0752,0.0234,-0.0986,-1.311,
ETH/USDT,long,2025-04-09 07:50:00+00:00,2025-04-09 08:05:00+00:00,1481.60043,1475.734794,1570.0,1570.0,0.016306,win,1.4415,0.0249,1.4166,14.811,
ETH/USDT,short,2025-04-09 08:00:00+00:00,2025-04-09 08:05:00+00:00,1486.891183,1492.288398,1470.0,1492.288398,0.016247,loss,-0.0877,0.0242,-0.1119,-1.276,
ETH/USDT,long,2025-04-09 08:05:00+00:00,2025-04-09 08:15:00+00:00,1475.122192,1472.365468,1499.95,1472.365468,0.016555,loss,-0.0456,0.0244,-0.07,-1.535,
ETH/USDT,long,2025-04-09 09:05:00+00:00,2025-04-09 09:20:00+00:00,1477.803533,1473.045332,1499.95,1473.045332,0.016515,loss,-0.0786,0.0244,-0.1029,-1.31,
ETH/USDT,short,2025-04-09 09:30:00+00:00,2025-04-09 09:45:00+00:00,1474.02262,1479.415824,1451.72,1479.415824,0.016544,loss,-0.0892,0.0244,-0.1137,-1.274,
ETH/USDT,short,2025-04-09 09:45:00+00:00,2025-04-09 10:15:00+00:00,1479.624817,1482.406422,1470.0,1482.406422,0.016466,loss,-0.0458,0.0244,-0.0702,-1.532,
ETH/USDT,short,2025-04-10 03:15:00+00:00,2025-04-10 06:05:00+00:00,1637.076053,1640.328,1559.81,1559.81,0.014873,win,1.1492,0.0238,1.1254,23.268,
